"nomeRegione";"capoluogo_regione";"idRegione"
"Lazio";"Roma";"12"
"Emilia-Romagna";"Bologna";"08"
"Abruzzo";"L'Aquila";"13"
"Calabria";"Catanzaro";"18"
"Campania";"Napoli";"15"
"Liguria";"Genova";"07"
"Molise";"Campobasso";"14"
"Puglia";"Bari";"16"
"Valle d'Aosta";"Aosta";"02"
"Sardegna";"Cagliari";"20"
"Umbria";"Perugia";"10"
"Basilicata";"Potenza";"17"
"Piemonte";"Torino";"01"
"Marche";"Ancona";"11"
"Toscana";"Firenze";"09"
"Veneto";"Venezia";"05"
"Trentino-Alto Adige";"Trento";"04"
"Friuli-Venezia Giulia";"Trieste";"06"
"Lombardia";"Milano";"03"
"Sicilia";"Palermo";"19"
